Tools	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	Frame	Time [sec]	Face	State	Rz	Ry	Rx	Tx	Ty	Tz	Error	Markers
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	45758	142.993	1	OK	34.2568112	68.7741567	31.6889566	230.125	67.320	-217.858	0.4026823	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	47006	146.893	1	OK	29.1009656	69.6798086	19.4077777	227.109	53.239	-216.459	0.2536007	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	48286	150.893	1	OK	-24.7511178	72.4656255	-34.5198226	224.332	40.907	-214.472	0.1488626	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	49574	154.918	1	OK	-6.1803728	69.2046667	-18.4892084	222.659	27.275	-213.379	0.1389129	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	50854	158.918	1	OK	-26.0994555	69.4950940	-35.5217958	219.910	12.256	-212.135	0.1142126	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	52134	162.918	1	OK	-46.8823282	69.9120387	-58.0082734	217.815	-0.458	-209.725	0.1394114	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	53422	166.943	1	OK	-24.7229160	70.8518339	-36.3308785	216.890	-15.158	-208.047	0.1659770	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	54702	170.943	1	OK	-38.0791998	72.2229421	-48.9004190	214.316	-29.854	-206.157	0.2979157	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	55982	174.943	1	OK	-45.9229567	72.8818603	-58.5631622	213.076	-42.832	-203.008	0.3261966	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	57262	178.943	1	OK	-16.5101525	73.0354374	-27.3172058	211.310	-55.107	-200.838	0.3684812	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	58550	182.968	1	OK	-10.8010877	77.4816426	-33.3533838	227.390	69.585	-231.555	0.1048007	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	59830	186.968	1	OK	-48.5055381	71.5367296	-68.8596724	225.263	55.589	-229.629	0.1313460	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	61110	190.968	1	OK	-20.9902175	75.3971809	-46.3448198	222.354	43.286	-229.106	0.1075602	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	62398	194.993	1	OK	-57.4882816	71.0390515	-79.7953081	220.691	28.274	-227.376	0.1537584	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	63678	198.993	1	OK	-42.7165465	69.2931100	-65.2523794	218.686	14.397	-226.216	0.1236232	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	64966	203.018	1	OK	-34.1876119	70.8200386	-53.9616818	217.521	-0.560	-224.518	0.1287647	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	66246	207.018	1	OK	-44.1610119	69.3588524	-65.7509402	216.177	-15.316	-222.124	0.1951877	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	67534	211.043	1	OK	-32.5654809	70.8206126	-54.0359861	215.249	-29.902	-219.923	0.2253224	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	68814	215.043	1	OK	-22.1899735	71.6322685	-40.6006765	213.507	-44.399	-217.504	0.2839736	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	70094	219.043	1	OK	-4.3952218	71.3679729	-17.9318628	210.887	-57.243	-215.123	0.3449311	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	71382	223.068	1	OK	-26.9552783	75.6265738	-51.2333758	226.808	69.390	-245.085	0.0903016	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	72662	227.068	1	OK	-58.8948765	69.6599093	-83.7657109	225.043	54.389	-243.990	0.1562619	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	73950	231.093	1	OK	-48.2577871	71.3599428	-70.3059474	222.558	41.298	-242.767	0.0995432	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	75230	235.093	1	OK	-58.9317706	68.0173564	-85.1508089	219.913	28.245	-241.721	0.1501104	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	76510	239.093	1	OK	-59.8892636	67.5519130	-88.1682433	218.028	15.593	-240.451	0.1799510	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	77798	243.118	1	OK	-53.8716518	68.7912745	-82.7835546	216.445	0.335	-239.155	0.2074387	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	79078	247.118	1	OK	-44.5619118	70.7125738	-68.7732368	216.026	-16.049	-236.339	0.2271051	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	80366	251.143	1	OK	-40.4121528	69.5760560	-63.5618186	215.228	-30.900	-233.121	0.2445803	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	81654	255.168	1	OK	-33.9448189	69.1265412	-53.4497303	213.474	-45.762	-230.189	0.2743802	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	82934	259.168	1	OK	-14.6777890	71.8912949	-28.3918511	210.882	-59.361	-228.247	0.3392765	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	84214	263.168	1	OK	-57.4587651	72.0602266	-86.3501423	226.048	68.952	-259.294	0.1828684	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	85494	267.168	1	OK	-70.9813941	68.9517585	-98.1766130	224.449	54.245	-257.533	0.1954206	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	86782	271.193	1	OK	-62.5765039	72.9783141	-89.8777104	221.751	41.797	-256.940	0.1686229	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	88062	275.193	1	OK	-70.7465134	71.3939805	-101.4392313	219.284	28.726	-256.353	0.2004519	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	89342	279.193	1	OK	-73.4512715	71.2436099	-107.2313163	216.995	15.565	-255.624	0.2217127	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	90630	283.218	1	OK	-71.4550020	70.9355680	-104.7476346	215.815	0.705	-253.723	0.2592242	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	91910	287.218	1	OK	-65.1907311	69.8259271	-94.1321146	215.653	-16.556	-250.612	0.3064401	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	93198	291.243	1	OK	-55.8625727	68.4586102	-82.0040092	216.259	-33.823	-247.125	0.3974056	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	94478	295.243	1	OK	-50.7234357	70.3813376	-74.1595070	213.867	-46.758	-243.559	0.3271185	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	95766	299.268	1	OK	-29.6602381	74.7845986	-49.8314007	211.462	-60.512	-241.462	0.3314410	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	97046	303.268	1	OK	-46.7183470	76.2994148	-75.0458912	225.257	68.148	-273.348	0.1209700	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	98326	307.268	1	OK	-64.2616431	70.6800187	-95.0866596	222.997	55.022	-272.280	0.1854122	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	99606	311.268	1	OK	-60.1046766	78.7300832	-92.7154563	220.468	42.353	-272.108	0.2099817	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	100894	315.293	1	OK	-65.7508037	73.1559955	-98.2222289	218.480	28.752	-270.499	0.2110419	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	102174	319.293	1	OK	-69.5703051	71.2160844	-103.4138774	216.343	15.050	-269.550	0.2539748	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	103454	323.293	1	OK	-68.8832333	69.5528035	-97.8216489	215.917	-1.355	-267.054	0.2878096	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	104742	327.318	1	OK	-55.2513168	74.7427770	-83.7129136	215.643	-17.229	-265.426	0.3755041	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	106022	331.318	1	OK	-32.7124509	78.3977409	-58.2918720	215.474	-34.391	-261.678	0.3701943	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	107310	335.343	1	OK	-23.5666909	74.8533749	-49.1658919	214.024	-48.669	-258.419	0.3530709	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	108590	339.343	1	OK	6.8586452	74.2329932	-15.0120503	211.581	-62.678	-255.362	0.3063171	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	109870	343.343	1	OK	-52.6549098	83.5408980	-88.8874765	223.718	69.561	-287.921	0.2282806	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	111150	347.343	1	OK	-35.0181522	87.3985376	-67.8068043	222.292	54.801	-286.133	0.2592175	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	112438	351.368	1	OK	110.5125182	80.1536847	77.0968261	221.304	43.136	-286.900	0.4216002	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	113718	355.368	1	OK	101.1471361	73.3311897	67.5698541	220.000	27.453	-285.692	0.5900716	0
1	Port 0x0A: NDI-MF2 610065   T6E0-S00313  s/n:3AB2EC00 Channel:0	114998	359.368	1	OK	120.3096578	75.3384406	85.5318364	217.910	13.460	-284.024	0.6165838	0
